,title,urlToImage,url
0,"Covid and Diabetes, Colliding in a Public Health Train Wreck - The New York Times",https://static01.nyt.com/images/2022/03/25/science/00VIRUS-DIABETES1/00VIRUS-DIABETES1-facebookJumbo.jpg,https://www.nytimes.com/2022/04/03/health/diabetes-covid-deaths.html
1,"CDC study finds risk of heart issues after COVID-19 infection, 2nd vaccine dose - WOODTV.com",https://www.woodtv.com/wp-content/uploads/sites/51/2022/04/GettyImages-1362947872-1.jpg?w=1280,https://www.woodtv.com/health/coronavirus/cdc-study-finds-risk-of-heart-issues-after-covid-19-infection-2nd-vaccine-dose/
2,"Dementia Signs Usually Appear in This Order — Eat This Not That - Eat This, Not That",https://www.eatthis.com/wp-content/uploads/sites/4/2020/01/mature-man-memory-loss-dementia.jpg?quality=82&strip=all,http://www.eatthis.com/news-dementia-signs-usually-appear-in-this-order/
3,"Virus Expert Says COVID Symptoms Usually Appear in This Order — Eat This Not That - Eat This, Not That",https://www.eatthis.com/wp-content/uploads/sites/4/2021/11/hospiotal-covid-doctor-nurse4.jpg?quality=82&strip=all,http://www.eatthis.com/news-symptoms-appear-in-order-covid/
4,COVID symptoms: How do we get sick from COVID? - Deseret News,https://deseret.brightspotcdn.com/dims4/default/65bee02/2147483647/strip/true/crop/3000x1713+0+144/resize/1461x834!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F06e9w9v2ILfWjUrr5WOmuDPFrL8%3D%2F0x0%3A3000x2000%2F3000x2000%2Ffilters%3Afocal%281500x1000%3A1501x1001%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F23129158%2Fcovidspread.jpg,https://www.deseret.com/coronavirus/2022/4/3/23006651/new-study-covid-symptoms-how-we-get-sick
5,"The #1 Cause of High Blood Pressure, According to Doctors — Eat This Not That - Eat This, Not That",https://www.eatthis.com/wp-content/uploads/sites/4/2021/11/blood-pressure.jpg?quality=82&strip=all,http://www.eatthis.com/news-high-blood-pressure-causes/
6,New cancer treatment uses body’s cellular waste disposal to flag harmful proteins - The Guardian,,https://amp.theguardian.com/science/2022/apr/03/new-cancer-treatment-uses-bodys-cellular-waste-disposal-to-flag-harmful-proteins
7,Why You Don't Need to Feel Sore After a Workout to Know if You've Exercised Enough - ScienceAlert,https://www.sciencealert.com/images/2022-04/processed/PersonDeadLiftsWeights_1024.jpg,https://www.sciencealert.com/why-you-don-t-need-to-feel-sore-a-workout-to-know-if-you-ve-exercised-enough
8,2 More Cases Of Bird Flu Detected In Minnesota - CBS Minnesota,https://minnesota.cbslocal.com/wp-content/uploads/sites/15909630/2022/03/snapshot-2022-03-26T220826.771.jpg?w=1500,https://minnesota.cbslocal.com/2022/04/02/2-more-cases-of-bird-flu-detected-in-minnesota/
9,6 probiotic foods to support your gut - Livescience.com,https://cdn.mos.cms.futurecdn.net/kv56vQMZWFmAVvSuezg9dk-1200-80.jpg,https://www.livescience.com/6-probiotic-foods-to-support-your-gut
10,"Hold the Salt: Surprising Findings on Low-Salt Diets, Heart Failure, and Quality of Life - SciTechDaily",https://scitechdaily.com/images/Pouring-Salt-Shaker.jpg,https://scitechdaily.com/hold-the-salt-surprising-findings-on-low-salt-diets-heart-failure-and-quality-of-life/
11,These are the 4 major warning signs of a weak immune system—and what you can do about it: Immunologist - CNBC,https://image.cnbcfm.com/api/v1/image/107040538-1648833116721-gettyimages-1329701927-1019255910.jpeg?v=1648833189&w=1920&h=1080,https://www.cnbc.com/2022/04/02/these-are-the-4-major-signs-you-may-have-a-weak-immune-systemand-what-to-do-about-it-immunologist.html
12,Sleeping pill dangers and how to avoid them - CNN,https://cdn.cnn.com/cnnnext/dam/assets/210311152013-melatonin-pills-stock-super-tease.jpg,https://www.cnn.com/2022/04/02/health/sleeping-pill-dangers-wellness/index.html
13,Treatment for Mild Chronic Hypertension during Pregnancy | NEJM - nejm.org,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/0/nejm.ahead-of-print/nejmoa2201295/20220401/images/img_small/nejmoa2201295_f1.jpeg,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2201295
14,Tranexamic Acid in Patients Undergoing Noncardiac Surgery | NEJM - nejm.org,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/0/nejm.ahead-of-print/nejmoa2201171/20220331/images/img_small/nejmoa2201171_f1.jpeg,https://www.nejm.org/doi/full/10.1056/NEJMoa2201171
15,Experts say a COVID-19 surge like the one in China is unlikely in the US. Here's why - WJCL News Savannah,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/hypatia-h-4afd338b30b5be58f17977de51e8f7cc-h-ef6ffca9878a48d61fd36f5e9f7ca32d-1648750372.jpg?crop=1.00xw:0.848xh;0,0&resize=1200:*",https://www.wjcl.com/article/covid-19-surge-like-the-one-in-china-unlikely-in-the-us/39600998
16,Cuts in Britain Could Cause a Covid Data Drought - The New York Times,https://static01.nyt.com/images/2022/04/01/science/01-virus-testing1/01-virus-testing1-facebookJumbo.jpg,https://www.nytimes.com/2022/04/02/health/covid-testing-uk-denmark.html
17,"Seizures, croup, and mechanical ventilation: New study shows how severe Omicron can get in unvaccinated children - Yahoo Finance",https://s.yimg.com/ny/api/res/1.2/fX08eHq5LzNbzFAhoMtk_w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDg-/https://s.yimg.com/uu/api/res/1.2/ZTV8yNSQmsF3eZI2rkcpbQ--~B/aD00MDAwO3c9NTk0NDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/fortune_175/c1a0df379c9aa962249b4755d039ca16,https://finance.yahoo.com/news/seizures-croup-mechanical-ventilation-study-132350064.html
18,Deer tick virus in Pennsylvania: What you need to know - The Morning Call,https://www.mcall.com/resizer/eCP6t1td5r3P2tq5g_XkApGM39c=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/NUMEKMSJGRFDFJPJ3KTOE4Q5EQ.jpg,https://www.mcall.com/sports/outdoors/mc-spt-deer-tick-virus-explainer-20220402-2uhexjec7rhixfc453zuedljcm-story.html
19,The Worst U.S. Cities to Live in for People With Seasonal Allergies - Lifehacker,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ceab7b3755c7ce114a9df11485ef6b07.jpg",https://lifehacker.com/the-worst-u-s-cities-to-live-in-for-people-with-season-1848737949
